"Leaf_ID";"IDVar";"Water_treatment"
"5957_2022-06-01_HD";"V1715";"WW"
"5956_2022-06-01_HD";"V1715";"WD1"
"5950_2022-06-01_HD";"V1715";"WD2"
"5653_2022-06-01_HD";"V746";"WW"
"5651_2022-06-01_HD";"V746";"WD1"
"5659_2022-06-01_HD";"V746";"WD2"
"4175_2022-06-03_HD";"V284";"WW"
"4173_2022-06-03_HD";"V284";"WD1"
"4178_2022-06-03_HD";"V284";"WD2"
"6205_2022-06-03_HD";"V2628";"WW"
"6208_2022-06-03_HD";"V2628";"WD1"
"6206_2022-06-03_HD";"V2628";"WD2"
"5224_2022-06-03_HD";"V1887";"WW"
"5223_2022-06-03_HD";"V1887";"WD1"
"5225_2022-06-03_HD";"V1887";"WD2"
"4502_2022-06-03_HD";"V1227";"WW"
"4500_2022-06-03_HD";"V1227";"WD1"
"4504_2022-06-03_HD";"V1227";"WD2"
"6281_2022-06-24_HD";"V2725";"WW"
"6285_2022-06-24_HD";"V2725";"WD1"
"6287_2022-06-24_HD";"V2725";"WD2"
"5712_2022-06-03_HD";"V1186";"WW"
"5713_2022-06-03_HD";"V1186";"WD1"
"5717_2022-06-03_HD";"V1186";"WD2"
"5172_2022-06-24_HD";"V2942";"WW"
"5178_2022-06-24_HD";"V2942";"WD1"
"5174_2022-06-24_HD";"V2942";"WD2"
"5480_2022-06-03_HD";"V3380";"WW"
"5485_2022-06-03_HD";"V3380";"WD1"
"5488_2022-06-03_HD";"V3380";"WD2"
"5052_2022-06-03_HD";"V3159";"WW"
"5057_2022-06-03_HD";"V3159";"WD1"
"5058_2022-06-03_HD";"V3159";"WD2"
"5817_2022-06-03_HD";"V1365";"WW"
"5814_2022-06-03_HD";"V1365";"WD1"
"5815_2022-06-03_HD";"V1365";"WD2"
"4740_2022-06-03_HD";"V2112";"WW"
"4746_2022-06-03_HD";"V2112";"WD1"
"4742_2022-06-03_HD";"V2112";"WD2"
"5199_2022-06-03_HD";"V2982";"WW"
"5191_2022-06-03_HD";"V2982";"WD1"
"5192_2022-06-03_HD";"V2982";"WD2"
"4827_2022-06-03_HD";"V2349";"WW"
"4829_2022-06-03_HD";"V2349";"WD1"
"4828_2022-06-03_HD";"V2349";"WD2"
"6427_2022-06-03_HD";"V3216";"WW"
"6429_2022-06-03_HD";"V3216";"WD1"
"6421_2022-06-03_HD";"V3216";"WD2"
"6810_2022-06-03_HD";"V3005";"WW"
"6381_2022-06-03_HD";"V3005";"WD1"
"6385_2022-06-03_HD";"V3005";"WD2"
"4583_2022-06-03_HD";"V1791";"WW"
"4589_2022-06-03_HD";"V1791";"WD1"
"4581_2022-06-03_HD";"V1791";"WD2"
"5657_2022-06-03_HD";"V746";"WW"
"5654_2022-06-03_HD";"V746";"WD1"
"5650_2022-06-03_HD";"V746";"WD2"
"6081_2022-06-03_HD";"V2327";"WW"
"6086_2022-06-03_HD";"V2327";"WD1"
"6080_2022-06-03_HD";"V2327";"WD2"
"5038_2022-06-09_HD";"V3148";"WW"
"5035_2022-06-09_HD";"V3148";"WD1"
"5033_2022-06-09_HD";"V3148";"WD2"
"4130_2022-06-02_HD";"V126";"WW"
"4132_2022-06-02_HD";"V126";"WD1"
"4139_2022-06-02_HD";"V126";"WD2"
"4218_2022-06-27_HD";"V349";"WW"
"4214_2022-06-27_HD";"V349";"WD1"
"4216_2022-06-27_HD";"V349";"WD2"
"6368_2022-06-02_HD";"V2991";"WW"
"6363_2022-06-02_HD";"V2991";"WD1"
"6369_2022-06-02_HD";"V2991";"WD2"
"5969_2022-06-02_HD";"V1719";"WW"
"5960_2022-06-02_HD";"V1719";"WD1"
"5963_2022-06-02_HD";"V1719";"WD2"
"6169_2022-06-02_HD";"V2505";"WW"
"6166_2022-06-02_HD";"V2505";"WD1"
"6168_2022-06-02_HD";"V2505";"WD2"
"4465_2022-06-02_HD";"V556";"WW"
"4466_2022-06-02_HD";"V556";"WD1"
"4469_2022-06-02_HD";"V556";"WD2"
"5761_2022-07-11_HD";"V1266";"WW"
"5762_2022-07-11_HD";"V1266";"WD1"
"5767_2022-07-11_HD";"V1266";"WD2"
"5978_2022-06-02_HD";"V1744";"WW"
"5970_2022-06-02_HD";"V1744";"WD1"
"5975_2022-06-02_HD";"V1744";"WD2"
"4541_2022-07-11_HD";"V1483";"WW"
"5709_2022-06-02_HD";"V975";"WW"
"5705_2022-06-02_HD";"V975";"WD1"
"5708_2022-06-02_HD";"V975";"WD2"
"5632_2022-06-02_HD";"V735";"WW"
"5630_2022-06-02_HD";"V735";"WD1"
"5634_2022-06-02_HD";"V735";"WD2"
"5523_2022-07-11_HD";"V3509";"WW"
"5527_2022-07-11_HD";"V3509";"WD1"
"5528_2022-07-11_HD";"V3509";"WD2"
"5832_2022-06-02_HD";"V1531";"WW"
"5830_2022-06-02_HD";"V1531";"WD1"
"5834_2022-06-02_HD";"V1531";"WD2"
"4791_2022-06-02_HD";"V2304";"WW"
"4798_2022-06-02_HD";"V2304";"WD1"
"4799_2022-06-02_HD";"V2304";"WD2"
"6104_2022-07-11_HD";"V2348";"WW"
"6102_2022-07-11_HD";"V2348";"WD1"
"6107_2022-07-11_HD";"V2348";"WD2"
"6597_2022-06-02_HD";"V3444";"WW"
"6595_2022-06-02_HD";"V3444";"WD1"
"6592_2022-06-02_HD";"V3444";"WD2"
"4169_2022-06-27_HD";"V203";"WW"
"4164_2022-06-27_HD";"V203";"WD1"
"4167_2022-06-27_HD";"V203";"WD2"
