"Leaf_ID";"Experiment";"Phenotyping_type";"LMA";"WCf";"WQ";"An";"PSI";"WUEintr";"WUEinst"
"6559_19/07/21";"Outdoor";"HT";5,12279998121972;NA;NA;NA;NA;NA;NA
"6554_20/07/21";"Outdoor";"HT";6,06778250202724;NA;NA;NA;NA;NA;NA
"6551_22/07/21";"Outdoor";"HT";3,95897940296203;NA;NA;NA;NA;NA;NA
"5095_19/07/21";"Outdoor";"HT";4,76138561294948;NA;NA;NA;NA;NA;NA
"5097_20/07/21";"Outdoor";"HT";6,61487764565264;NA;NA;NA;NA;NA;NA
"5092_22/07/21";"Outdoor";"HT";6,36619803491382;NA;NA;NA;NA;NA;NA
"4550_19/07/21";"Outdoor";"HT";3,98882095625069;NA;NA;NA;NA;NA;NA
"4557_20/07/21";"Outdoor";"HT";3,5014089192026;NA;NA;NA;NA;NA;NA
"4554_22/07/21";"Outdoor";"HT";5,09295842793106;NA;NA;NA;NA;NA;NA
"5089_19/07/21";"Outdoor";"HT";5,26206056323346;NA;NA;NA;NA;NA;NA
"5088_20/07/21";"Outdoor";"HT";3,58098639463903;NA;NA;NA;NA;NA;NA
"5082_22/07/21";"Outdoor";"HT";4,73485978846715;NA;NA;NA;NA;NA;NA
"5418_19/07/21";"Outdoor";"HT";4,03855687839846;NA;NA;NA;NA;NA;NA
"5417_20/07/21";"Outdoor";"HT";4,57570483759431;NA;NA;NA;NA;NA;NA
"5419_22/07/21";"Outdoor";"HT";4,58565202202386;NA;NA;NA;NA;NA;NA
"4134_19/07/21";"Outdoor";"HT";4,10818716940533;NA;NA;NA;NA;NA;NA
"4130_20/07/21";"Outdoor";"HT";4,44639144001012;NA;NA;NA;NA;NA;NA
"4135_22/07/21";"Outdoor";"HT";4,33697241128504;NA;NA;NA;NA;NA;NA
"4697_19/07/21";"Outdoor";"HT";5,22227182551524;NA;NA;NA;NA;NA;NA
"4691_20/07/21";"Outdoor";"HT";4,97359221477642;NA;NA;NA;NA;NA;NA
"4692_22/07/21";"Outdoor";"HT";4,0087153251098;NA;NA;NA;NA;NA;NA
"4851_19/07/21";"Outdoor";"HT";4,22755338255996;NA;NA;NA;NA;NA;NA
"4859_20/07/21";"Outdoor";"HT";5,4212155141063;NA;NA;NA;NA;NA;NA
"4856_22/07/21";"Outdoor";"HT";5,46100425182451;NA;NA;NA;NA;NA;NA
"4780_19/07/21";"Outdoor";"HT";5,00343376806508;NA;NA;NA;NA;NA;NA
"4789_20/07/21";"Outdoor";"HT";5,14269435007882;NA;NA;NA;NA;NA;NA
"4781_22/07/21";"Outdoor";"HT";4,88406755491045;NA;NA;NA;NA;NA;NA
"4737_19/07/21";"Outdoor";"HT";4,80449007947403;NA;NA;NA;NA;NA;NA
"4734_20/07/21";"Outdoor";"HT";5,65000075598602;NA;NA;NA;NA;NA;NA
"4739_22/07/21";"Outdoor";"HT";3,56109202577992;NA;NA;NA;NA;NA;NA
"4836_19/07/21";"Outdoor";"HT";3,91919066524382;NA;NA;NA;NA;NA;NA
"4839_20/07/21";"Outdoor";"HT";3,25272930846378;NA;NA;NA;NA;NA;NA
"4838_22/07/21";"Outdoor";"HT";3,88934911195516;NA;NA;NA;NA;NA;NA
"5157_19/07/21";"Outdoor";"HT";5,32174366981077;NA;NA;NA;NA;NA;NA
"5155_20/07/21";"Outdoor";"HT";5,37147959195854;NA;NA;NA;NA;NA;NA
"5152_22/07/21";"Outdoor";"HT";5,43116269853585;NA;NA;NA;NA;NA;NA
"4810_19/07/21";"Outdoor";"HT";5,7594197847111;NA;NA;NA;NA;NA;NA
"4814_20/07/21";"Outdoor";"HT";4,63538794417163;NA;NA;NA;NA;NA;NA
"4813_22/07/21";"Outdoor";"HT";4,0286096939689;NA;NA;NA;NA;NA;NA
"4592_19/07/21";"Outdoor";"HT";5,61021201826781;NA;NA;NA;NA;NA;NA
"4591_20/07/21";"Outdoor";"HT";5,34163803866988;NA;NA;NA;NA;NA;NA
"4599_22/07/21";"Outdoor";"HT";4,78459571061492;NA;NA;NA;NA;NA;NA
"5038_19/07/21";"Outdoor";"HT";4,93380347705821;NA;NA;NA;NA;NA;NA
"5033_20/07/21";"Outdoor";"HT";4,25739493584862;NA;NA;NA;NA;NA;NA
"5030_22/07/21";"Outdoor";"HT";5,02332813692419;NA;NA;NA;NA;NA;NA
"4978_19/07/21";"Outdoor";"HT";5,71963104699289;NA;NA;NA;NA;NA;NA
"4977_20/07/21";"Outdoor";"HT";5,18248308779703;NA;NA;NA;NA;NA;NA
"4973_22/07/21";"Outdoor";"HT";6,29656774390695;NA;NA;NA;NA;NA;NA
"4409_19/07/21";"Outdoor";"HT";4,48618017772833;NA;NA;NA;NA;NA;NA
"4408_20/07/21";"Outdoor";"HT";4,30713085799638;NA;NA;NA;NA;NA;NA
"4400_22/07/21";"Outdoor";"HT";3,8396131898074;NA;NA;NA;NA;NA;NA
"4962_19/07/21";"Outdoor";"HT";5,29190211652211;NA;NA;NA;NA;NA;NA
"4960_20/07/21";"Outdoor";"HT";6,23688463732963;NA;NA;NA;NA;NA;NA
"4968_22/07/21";"Outdoor";"HT";4,68512386631939;NA;NA;NA;NA;NA;NA
"4777_19/07/21";"Outdoor";"HT";3,8595075586665;NA;NA;NA;NA;NA;NA
"4778_20/07/21";"Outdoor";"HT";5,45105706739496;NA;NA;NA;NA;NA;NA
"4776_22/07/21";"Outdoor";"HT";3,44172581262529;NA;NA;NA;NA;NA;NA
"5216_19/07/21";"Outdoor";"HT";4,07834561611667;NA;NA;NA;NA;NA;NA
"5218_20/07/21";"Outdoor";"HT";4,51602173101699;NA;NA;NA;NA;NA;NA
"5214_22/07/21";"Outdoor";"HT";4,81443726390358;NA;NA;NA;NA;NA;NA
"5147_19/07/21";"Outdoor";"HT";5,14269435007882;NA;NA;NA;NA;NA;NA
"5140_20/07/21";"Outdoor";"HT";5,00343376806508;NA;NA;NA;NA;NA;NA
"5142_22/07/21";"Outdoor";"HT";3,3124124150411;NA;NA;NA;NA;NA;NA
"4807_19/07/21";"Outdoor";"HT";4,14797590712354;NA;NA;NA;NA;NA;NA
"4805_20/07/21";"Outdoor";"HT";4,20765901370086;NA;NA;NA;NA;NA;NA
"4809_22/07/21";"Outdoor";"HT";3,71029979222321;NA;NA;NA;NA;NA;NA
"5043_20/07/21";"Outdoor";"HT";5,22227182551524;NA;NA;NA;NA;NA;NA
"5041_22/07/21";"Outdoor";"HT";4,89401473934;NA;NA;NA;NA;NA;NA
"4514_19/07/21";"Outdoor";"HT";4,8741203704809;NA;NA;NA;NA;NA;NA
"4510_20/07/21";"Outdoor";"HT";5,73952541585199;NA;NA;NA;NA;NA;NA
"4518_22/07/21";"Outdoor";"HT";5,19243027222659;NA;NA;NA;NA;NA;NA
"4902_19/07/21";"Outdoor";"HT";4,82438444833313;NA;NA;NA;NA;NA;NA
"4903_20/07/21";"Outdoor";"HT";4,0087153251098;NA;NA;NA;NA;NA;NA
"4907_22/07/21";"Outdoor";"HT";4,15792309155309;NA;NA;NA;NA;NA;NA
"4741_19/07/21";"Outdoor";"HT";4,8741203704809;NA;NA;NA;NA;NA;NA
"4743_20/07/21";"Outdoor";"HT";5,12279998121972;NA;NA;NA;NA;NA;NA
"4745_22/07/21";"Outdoor";"HT";4,22755338255996;NA;NA;NA;NA;NA;NA
"4764_19/07/21";"Outdoor";"HT";5,73753597896608;NA;NA;NA;NA;NA;NA
"4769_20/07/21";"Outdoor";"HT";4,71098654583623;NA;NA;NA;NA;NA;NA
"4763_22/07/21";"Outdoor";"HT";5,49084580511317;NA;NA;NA;NA;NA;NA
"5390_19/07/21";"Outdoor";"HT";5,42718382476403;NA;NA;NA;NA;NA;NA
"5397_20/07/21";"Outdoor";"HT";3,75008852994142;NA;NA;NA;NA;NA;NA
"5394_22/07/21";"Outdoor";"HT";3,72422585042459;NA;NA;NA;NA;NA;NA
"4566_19/07/21";"Outdoor";"HT";4,92385629262866;NA;NA;NA;NA;NA;NA
"4569_20/07/21";"Outdoor";"HT";4,7050182351785;NA;NA;NA;NA;NA;NA
"4565_22/07/21";"Outdoor";"HT";4,1977118292713;NA;NA;NA;NA;NA;NA
"5079_19/07/21";"Outdoor";"HT";5,44309931985132;NA;NA;NA;NA;NA;NA
"5071_20/07/21";"Outdoor";"HT";4,75077528355444;NA;NA;NA;NA;NA;NA
"5075_22/07/21";"Outdoor";"HT";5,18845139845476;NA;NA;NA;NA;NA;NA
"4257_19/07/21";"Outdoor";"HT";4,13802872269398;NA;NA;NA;NA;NA;NA
"4253_20/07/21";"Outdoor";"HT";5,02133870003828;NA;NA;NA;NA;NA;NA
"4252_22/07/21";"Outdoor";"HT";5,55052891169049;NA;NA;NA;NA;NA;NA
"4089_19/07/21";"Outdoor";"HT";5,18248308779703;NA;NA;NA;NA;NA;NA
"4082_20/07/21";"Outdoor";"HT";5,43116269853585;NA;NA;NA;NA;NA;NA
"4088_22/07/21";"Outdoor";"HT";6,117518424175;NA;NA;NA;NA;NA;NA
"4505_19/07/21";"Outdoor";"HT";4,97359221477642;NA;NA;NA;NA;NA;NA
"4500_20/07/21";"Outdoor";"HT";4,87014149670907;NA;NA;NA;NA;NA;NA
"4508_22/07/21";"Outdoor";"HT";4,44639144001012;NA;NA;NA;NA;NA;NA
"6654_19/07/21";"Outdoor";"HT";4,57570483759431;NA;NA;NA;NA;NA;NA
"6652_20/07/21";"Outdoor";"HT";3,93908503410293;NA;NA;NA;NA;NA;NA
"6657_22/07/21";"Outdoor";"HT";5,69973667813378;NA;NA;NA;NA;NA;NA
"4600_19/07/21";"Outdoor";"HT";4,41654988672146;NA;NA;NA;NA;NA;NA
"4608_20/07/21";"Outdoor";"HT";3,62077513235724;NA;NA;NA;NA;NA;NA
"4602_22/07/21";"Outdoor";"HT";4,50607454658744;NA;NA;NA;NA;NA;NA
"4390_19/07/21";"Outdoor";"HT";4,67020308967506;NA;NA;NA;NA;NA;NA
"4397_20/07/21";"Outdoor";"HT";4,93380347705821;NA;NA;NA;NA;NA;NA
"4398_22/07/21";"Outdoor";"HT";4,49612736215789;NA;NA;NA;NA;NA;NA
"4273_19/07/21";"Outdoor";"HT";4,73485978846715;NA;NA;NA;NA;NA;NA
"4276_20/07/21";"Outdoor";"HT";3,93112728655929;NA;NA;NA;NA;NA;NA
"4274_22/07/21";"Outdoor";"HT";2,83494756242256;NA;NA;NA;NA;NA;NA
"5170_19/07/21";"Outdoor";"HT";5,12279998121972;NA;NA;NA;NA;NA;NA
"5179_20/07/21";"Outdoor";"HT";4,04253575217028;NA;NA;NA;NA;NA;NA
"5174_22/07/21";"Outdoor";"HT";5,05316969021285;NA;NA;NA;NA;NA;NA
"5011_19/07/21";"Outdoor";"HT";4,3847188965469;NA;NA;NA;NA;NA;NA
"5013_20/07/21";"Outdoor";"HT";4,07834561611667;NA;NA;NA;NA;NA;NA
"5015_22/07/21";"Outdoor";"HT";4,40859213917782;NA;NA;NA;NA;NA;NA
"4719_19/07/21";"Outdoor";"HT";4,23352169321769;NA;NA;NA;NA;NA;NA
"4718_20/07/21";"Outdoor";"HT";4,07436674234485;NA;NA;NA;NA;NA;NA
"4715_22/07/21";"Outdoor";"HT";6,20704308404098;NA;NA;NA;NA;NA;NA
"5006_19/07/21";"Outdoor";"HT";4,73485978846715;NA;NA;NA;NA;NA;NA
"5005_20/07/21";"Outdoor";"HT";4,55183159496338;NA;NA;NA;NA;NA;NA
"5003_22/07/21";"Outdoor";"HT";2,44302849589818;NA;NA;NA;NA;NA;NA
"6486_19/07/21";"Outdoor";"HT";3,89133854884107;NA;NA;NA;NA;NA;NA
"6485_20/07/21";"Outdoor";"HT";3,70035260779366;NA;NA;NA;NA;NA;NA
"6484_22/07/21";"Outdoor";"HT";4,13802872269398;NA;NA;NA;NA;NA;NA
"6092_19/07/21";"Outdoor";"HT";4,60753582776888;NA;NA;NA;NA;NA;NA
"6091_20/07/21";"Outdoor";"HT";5,29985986406576;NA;NA;NA;NA;NA;NA
"6099_22/07/21";"Outdoor";"HT";5,98422615281899;NA;NA;NA;NA;NA;NA
"6704_19/07/21";"Outdoor";"HT";4,5558104687352;NA;NA;NA;NA;NA;NA
